"Trcid";"Title";"Shortdescription";"Longdescription";"Calendarsummary";"TitleEN";"ShortdescriptionEN";"LongdescriptionEN";"CalendarsummaryEN";"Types";"Ids";"Locatienaam";"City";"Adres";"Zipcode";"Latitude";"Longitude";"Urls";"Media";"Thumbnail";"Datepattern_startdate";"Datepattern_enddate";"Singledates";"Type1";"Lastupdated";
"65e80a5d-b877-4843-9ada-4394b6e1ea05";"Holland Casino Schiphol Airport";"Bij Holland Casino Schiphol Airport kan men kiezen uit een diversiteit aan speelautomaten. Ook worden de tafelspelen Amerikaanse Roulette en Black Jack aangeboden.    ";"Je vindt Holland Casino in het douanegebied van de vertrekhal tussen gate E en F, op de Holland Boulevard.<br /> <br /> Holland Casino is dagelijks geopend van 06:30 tot 19:30 uur. Om Holland Casino te bezoeken dient men 18 jaar of ouder te zijn en een geldig legitimatiebewijs te tonen. Daarnaast moet je een geldige instapkaart laten zien.";"ma-zo: 06:30 - 19:30 uur";"Holland Casino Schiphol Airport";"Holland Casino offers American Roulette, Black Jack and a wide range of gambling machines. Its situated at the Holland Boulevard, between gate E and F. The Holland Casino is open daily from 6.30 AM to 7.30 PM.    ";"Visitors to Holland Casino must be at least 18 years of age and carry a valid proof of identity. You also have to show a valid boarding pass.";"Mo -Su: 06:30 - 19:30 hour";"";"2.1.3";"Holland Casino Schiphol Airport  ";"SCHIPHOL";"Schiphol Airport";"1118 AX";"52,3087900";"4,7614870";"http://www.hollandcasino.nl";"https://media.iamsterdam.com/ndtrc/Images/20121211/e25f3d78-d48a-466c-a585-48dd9db7060f.jpg,https://media.iamsterdam.com/ndtrc/Images/20121211/7a1729e0-5f5e-4826-97a0-f9fa05788f6c.jpg";"https://media.iamsterdam.com/ndtrc/Images/20121211/e25f3d78-d48a-466c-a585-48dd9db7060f.jpg";"11-12-2012";"";"";"";"2015-06-23 10:08:59";
"3adc9c82-e063-4272-9250-942a331b5c7b";"Holland Casino Amsterdam";"Bij Holland Casino Amsterdam kan men kiezen uit een diversiteit aan speelautomaten en tafelspelen, zoals Amerikaanse Roulette, Black Jack, Punto Banco en Poker en ruim 550 automaten.  ";"Holland Casino Amsterdam staat midden in het uitgaansgebied bij het Leidseplein en de vele grachten. Het Casino is dagelijks geopend van 12:00 tot 03:00 uur.<br /> <br /> Je kunt dineren tot 02:00 uur. Om Holland Casino te bezoeken dient men 18 jaar of ouder te zijn en een geldig identificatiebewijs te tonen.";"ma-zo: 12:00 - 03:00 uur";"Holland Casino Amsterdam";"Holland Casino offers a wide range of gambling machines and table games including American Roulette, Black Jack, Punto Banco, Poker and more than 550 Slotmachines.";"Holland Casino Amsterdam is located nearby the famous Leidseplein district. The Casino is open daily from 12:00 PM to 03:00 AM. The restaurant is open until 02:00 AM.<br /> <br /> Visitors to Holland Casino must be at least 18 years of age and carry a valid passport.";"Mo -Su: 12:00 - 03:00 hour";"";"2.1.3";"Holland Casino Amsterdam";"AMSTERDAM";"Max Euweplein 62";"1017 MB";"52,3620480";"4,8828320";"http://www.hollandcasino.nl";"https://media.iamsterdam.com/ndtrc/Images/20121211/e57be415-ce3b-42cb-9ac4-96eb7f7d1b08.jpg,https://media.iamsterdam.com/ndtrc/Images/20121211/5c9559a2-5df2-4d59-87e2-a4649551afe5.jpg";"https://media.iamsterdam.com/ndtrc/Images/20121211/e57be415-ce3b-42cb-9ac4-96eb7f7d1b08.jpg";"11-12-2012";"";"";"";"2016-06-29 13:24:10";
"9f31a3ce-c0d5-4e7f-b41b-f431946d0e4e";"VOC Café - Schreierstoren";"Dit proeflokaal is gesitueerd in de kelder van de Schreierstoren. Bij deze toren gingen de VOC bemanningen in de 17e en 18e eeuw aan boord van de lichters (een soort platbodems) die hen naar Texel vervoerden, waar de Oostindiëvaarders lagen te wachten op een gunstige wind om uit te kunnen varen. ";"Er is een Kapiteinskamer beschikbaar voor vergaderingen en besloten feestjes. Het caf&eacute: schenkt een onvervalste scheepsjenever met de naam 'Egte Zeeduycker Schoot-an'. De legende wil dat de toren haar naam dankt aan de 'schreiende' vrouwen die hier afscheid van hun mannen namen.";"";"VOC Café - Schreierstoren";"The VOC Café is a bar located in the basement of the Schreierstoren. In the 17th and 18th centuries, VOC (Dutch East India Company) crewmen come to this tower to board flat-bottomed boats for the Dutch island of Texel.  Sailors heading to the East Indies would wait in Texel for favourable winds. Legend has it that the tower?s name (weeping tower) came from the crying women that bid their husbands farewell here.";"<strong>VOC Caf&eacute:</strong><br /> Today the Schreierstoren houses a caf&eacute:. There&rsquo:s also a captain&rsquo:s room available for meetings, private parties or even weddings. The caf&eacute: serves genuine sailor&rsquo:s genever called &ldquo:Egte Zeeduycker Schoot-an&rdquo:.";"";"";"3.3.1";"";"AMSTERDAM";"Prins Hendrikkade 94-95";"1012 AE";"52,3763170";"4,9022730";"http://www.schreierstoren.nl/";"https://media.iamsterdam.com/ndtrc/Images/20101116/a6bbb8bb-e902-4a6c-a954-d29026fb18af.jpg,https://media.iamsterdam.com/ndtrc/Images/20101116/16bafd10-75a2-45a1-a1dc-f9ac6d0d09e2.jpg";"https://media.iamsterdam.com/ndtrc/Images/20101116/a6bbb8bb-e902-4a6c-a954-d29026fb18af.jpg";"";"";"";"";"2015-06-24 12:06:33";
"73ccc4e2-2e32-424c-92fe-e80d5e28c2ce";"Café Heuvel";"Voor het oer-Amsterdamse gevoel, ga je naar Café Heuvel op de Prinsengracht. Het kleine hoekcafé met fijn terras is een van de oudste cafés van de stad. Dat zie je ook als je binnenkomt: niet alleen aan het interieur, waar sinds jaar en dag niks meer aan gedaan is, maar ook aan de vergeelde foto?s aan de muur en teksten als: ?gratis klontjes voor uw paard.?  Aan de bar zitten de echte stamgasten vanaf vier uur ?s middags lief en leed met elkaar te delen, van straatveger tot bankdirecteur.";"";"Ma-do: 14:00 - 01:00 uur, vr, za: 14:00 - 02:00 uur, zo: 14:00 - 01:00 uur.";"Café Heuvel";"For a true Amsterdam vibe, go Café Heuvel on the Prinsengracht. This tiny bar, with a great terrace, is one of Amsterdam's oldest cafés. There something for everyone here. The regulars include street sweepers and CFO's.";"";"Mo -Th : 14:00 - 01:00 hour, Fr , Sa : 14:00 - 02:00 hour, Su: 14:00 - 01:00 hour.";"";"3.3.1";"";"AMSTERDAM";"Prinsengracht 568";"1017 KR";"52,3624880";"4,8878630";"";"https://media.iamsterdam.com/ndtrc/Images/20110125/2e54294c-305d-4bfd-aa99-ecd0b7376f4a.jpg";"https://media.iamsterdam.com/ndtrc/Images/20110125/2e54294c-305d-4bfd-aa99-ecd0b7376f4a.jpg";"25-01-2011";"";"";"";"2016-01-15 16:16:18";
"c9d1f44a-89f9-4028-874f-39341cd6475b";"Café Lellebel";"Knus, klein bruin café met dragshows en veel activiteiten. Café Lellebel biedt live shows, thema avonden en evenementen aan, 7 dagen per week, het gehele jaar.  De focus van Café Lellebel ligt op de travestie, transsexuele en gay gemeenschap.";"";"ma-do: 20:00 - 03:00 uur vr, za: 20:00 - 04:00 uur zo: 20:00 - 03:00 uur";"Café Lellebel";"Characteristic, small pub with drag shows and many activities. The Lellebel offers live shows, theme nights and events 7 days a week the whole year round. The focus of The Lellebel is towards the transvestite, transsexual, gay and lesbian community.";"";"Mo -Th : 20:00 - 03:00 hour Fr , Sa : 20:00 - 04:00 hour Su: 20:00 - 03:00 hour";"";"3.3.1";"";"AMSTERDAM";"Utrechtsestraat 4";"1017 VN";"52,3658230";"4,8975930";"http://www.lellebel.nl";"https://media.iamsterdam.com/ndtrc/Images/20110125/8b18947c-becd-4c5b-9a4d-3a61e9584348.jpg";"https://media.iamsterdam.com/ndtrc/Images/20110125/8b18947c-becd-4c5b-9a4d-3a61e9584348.jpg";"25-01-2011";"";"";"";"2015-06-24 12:06:33";
"18455832-e181-4db4-b2ff-3021f57df2ed";"Hotel Arena - Todrink";"Todrink is het cafégedeelte van Hotel Arena. Niet alleen hotelgasten maar ook buurtgenoten en clubbezoekers bezoeken deze gelegenheid.";"Tonight (voorheen Club Arena) is een concertpodium voor popconcerten met een internationale allure. Veel Europese en soms zelfs Amerikaanse popgroepen betreden het podium. In de twee zalen wordt verder veel gedanst: Room 011 bevindt zich in de oude kapel, bestaat uit twee verdiepingen met een vide, een grote dansvloer, twee bars en een aparte relaxruimte met banken en zitjes. Room 012 is een nieuw aangebouwde zaal met een dansvloer en biedt uitzicht op de tuin van Hotel Arena. Met deze nieuwe zaal blijft de bekende mix van verschillende muziekstijlen en sferen gehandhaafd.";"ma-zo: 12:00 - 22:30 uur";"Hotel Arena - Todrink";"Complex including night club, stage, café, restaurant, conference rooms and hotel.";"Hotel Arena is situated in the former St. Elisabeth Chapel, a city monument in Amsterdam's historical city centre which was built in 1890 as Roman-Catholic orphanage. In 1999, a series of renovations began to turn it into a 3-star hotel. A number of noted designers participated in the renovation, and the result is a building which has retained its classic aspects but which has a modern and stylish feel. The facilities consist of a 127-room hotel, a caf&eacute:/bar, restaurant, famous nightclub, and conference rooms. These are called ToStay, ToDrink, ToDine, ToNight and ToMeet.";"Mo -Su: 12:00 - 22:30 hour";"";"3.3.1";"";"AMSTERDAM";"'s-Gravesandestraat 51";"1092 AA";"52,3612330";"4,9163280";"http://www.hotelarena.nl";"https://media.iamsterdam.com/ndtrc/Images/20110125/5eb16ebe-e088-4afb-8f02-ad023c00caa9.jpg,https://media.iamsterdam.com/ndtrc/Images/20110125/87d97e85-4d5f-4a44-97f2-841c83e8917e.jpg";"https://media.iamsterdam.com/ndtrc/Images/20110125/5eb16ebe-e088-4afb-8f02-ad023c00caa9.jpg";"25-01-2011";"";"";"";"2016-04-03 10:31:11";
"8f6aabc6-59bc-4266-897f-22d0c00eccd3";"Molly Malones";"Molly Malones is gevestigd in een van de oudste pakhuizen in de rosse buurt, aan de gracht. Molly Malones biedt haar klanten eten, drinken, service en entertainment van de beste kwaliteit.";"";"ma-wo: 15:00 - 01:00 uur do: 12:00 - 01:00 uur vr: 12:00 - 03:00 uur za: 11:00 - 03:00 uur zo: 11:00 - 01:00 uur";"Molly Malones";"Molly Malones is located in one of the oldest warehouses in the Red Light District, bordering a small canal. Molly?s aims to provide top quality food, drink, service and entertainment to its customers.";"";"Mo -We : 15:00 - 01:00 hour Th : 12:00 - 01:00 hour Fr : 12:00 - 03:00 hour Sa : 11:00 - 03:00 hour Su: 11:00 - 01:00 hour";"";"3.3.1";"";"AMSTERDAM";"Oudezijds Kolk 9";"1012 AL";"52,3760110";"4,9012940";"http://www.mollyinamsterdam.com";"https://media.iamsterdam.com/ndtrc/Images/20110125/f521353b-e49d-4101-8d2d-d2ac0697d643.jpg,https://media.iamsterdam.com/ndtrc/Images/20110125/bb66826e-aab0-44c3-bec5-5b0432034096.jpg";"https://media.iamsterdam.com/ndtrc/Images/20110125/f521353b-e49d-4101-8d2d-d2ac0697d643.jpg";"25-01-2011";"";"";"";"2015-06-23 10:08:57";
"10977bdb-b449-4eee-9213-d1e1c3689485";"Papeneiland";"Café Papeneiland op de hoek Prinsengracht/Brouwersgracht is een van de oudste cafés van Amsterdam. Het café uit 1642 is donkerbruin met prachtige hoge ramen, een Anton Pieck van het pand aan de muur, een oude, beschilderde tap, Perzisch tapijt op tafel, Delfts blauwe tegeltjes, een antieke kachel. Het publiek van dit historische café bestaat uit een harde kern van vrolijke drinkers van middelbare leeftijd en een handvol toeristen.";"";"ma-do: 11:00 - 01:00 uur vr, za: 11:00 - 02:00 uur zo: 11:00 - 01:00 uur";"Papeneiland";"Nestled on the edge of the Jordaan neighbourhood of Amsterdam, this brown café is located in a beautiful gabled property dating back to 1642. It?s alleged that a coffin-maker and funeral director sold alcohol here on the side as early as 1600.";"";"Mo -Th : 11:00 - 01:00 hour Fr , Sa : 11:00 - 02:00 hour Su: 11:00 - 01:00 hour";"";"3.3.1";"";"AMSTERDAM";"Prinsengracht 2";"1015 DV";"52,3804500";"4,8881170";"http://www.papeneiland.nl/";"https://media.iamsterdam.com/ndtrc/Images/10/10977bdb-b449-4eee-9213-d1e1c3689485/c3b611b5-1507-43be-bbec-086bbd8ab7f1.jpg,https://media.iamsterdam.com/ndtrc/Images/10/10977bdb-b449-4eee-9213-d1e1c3689485/e719fb9c-1cb0-4f0b-b9dd-d058b7c531b2.jpg";"https://media.iamsterdam.com/ndtrc/Images/10/10977bdb-b449-4eee-9213-d1e1c3689485/c3b611b5-1507-43be-bbec-086bbd8ab7f1.jpg";"03-04-2012";"";"";"";"2015-09-30 13:25:40";
"c5849da8-c1ff-44af-9329-e2e69a8b8442";"Whisky Café L&B";"De uitvalsbasis voor de whiskyproeverijen en informatie bijeenkomsten is whiskycafé L&B, gelegen op loopafstand van het Leidseplein te Amsterdam.";"<div> <div>L&amp:B bestaat nu meer dan 35 jaar en is gerenommeerd om zijn vele whisky's, de uitgebreide borrelhapjeskaart, waaronder de befaamde sat&eacute: volgens geheim recept bereid en natuurlijk de ouderwetse gezelligheid.</div> <div><br /> Ook voor de niet-whiskydrinker is Whiskycaf&eacute: L&amp:B een goede uitgaansgelegenheid. De bierkaart is ruim gesorteerd en ook is recent de wijnkaart uitgebreid. Men kan inmiddels kiezen uit 10 verschillende wijnen die per glas of fles verkrijgbaar zijn.</div> </div> <div><br /> </div>";"ma-do: 20:00 - 03:00 uur vr, za: 20:00 - 04:00 uur zo: 20:00 - 03:00 uur";"Whisky Café L&B";"Whisky Café L&B, located on walking distance from Leidseplein in Amsterdam, is the operating base for whisky bodegas and info meetings. L&B has existed for over 35 years now and is renowned for its many whiskies, the extensive snack list, among which the famous sate prepared according to a secret recipe, and for its old-fashioned conviviality.";"";"Mo -Th : 20:00 - 03:00 hour Fr , Sa : 20:00 - 04:00 hour Su: 20:00 - 03:00 hour";"";"3.3.1";"";"AMSTERDAM";"Korte Leidsedwarsstraat 82";"1017 RD";"52,3628130";"4,8852160";"http://www.whiskyproeverijen.nl";"https://media.iamsterdam.com/ndtrc/Images/20110125/c0f29b1a-6195-4b3d-b845-b67e880da776.jpg";"https://media.iamsterdam.com/ndtrc/Images/20110125/c0f29b1a-6195-4b3d-b845-b67e880da776.jpg";"25-01-2011";"";"";"";"2015-06-23 10:08:57";
"a6f574c0-b6a5-4a51-9ae4-3cc930dba60e";"Grand Café Ovidius";"In het hart van Amsterdam, achter het Koninklijk Paleis, bevindt zich café en brasserie Ovidius in het luxe winkelcentrum Magna Plaza. Dit voormalige hoofdpostkantoor (1895) behoort tot de top-100 van rijksmonumenten met buitengewoon cultuurhistorische waarde.";"<h2>Ontbijt, lunch &amp: diner</h2> Ovidius heeft een eigen ingang op de hoek van de Spuistraat en de Raadhuisstraat en is elke dag open vanaf 9.00 uur. Je kunt er terecht voor verse salades, sandwiches en warme gerechten.&nbsp:";"ma-wo: 10:00 - 20:00 uur do: 10:00 - 21:00 uur vr, za: 10:00 - 00:00 uur zo: 10:00 - 22:00 uur";"Grand Café Ovidius";"Café and Brasserie Ovidius is located in the very heart of Amsterdam, close to the Royal Palace, inside the luxurious shopping mall Magna Plaza. The building dates from 1895 and is Amsterdam?s former main post office. It is listed among the top 100 most important public buildings from a cultural and historical perspective. ";"Ovidius has its own entrance on the corner of Spuistraat and Raadhuisstraat and opens at 09.00 a.m. Our extensive menu includes fresh salads, freshly baked rolls and hot meals. The restaurant is open 7 days a week and offers the perfect opportunity to relax with a drink and tasty food after the Magna Plaza shops close.";"Mo -We : 10:00 - 20:00 hour Th : 10:00 - 21:00 hour Fr , Sa : 10:00 - 00:00 hour Su: 10:00 - 22:00 hour";"";"3.3.1";"";"AMSTERDAM";"Spuistraat 139";"1012 SV";"52,3731930";"4,8896440";"http://www.ovidius.nl";"https://media.iamsterdam.com/ndtrc/Images/20110127/fc508b00-11c0-4ae7-a728-f65661176e69.jpg";"https://media.iamsterdam.com/ndtrc/Images/20110127/fc508b00-11c0-4ae7-a728-f65661176e69.jpg";"27-01-2011";"";"";"";"2016-01-15 15:09:11";
